experiment,position,frame,objects,median_area,fragments,merged,on_trap
2023-05-16_ageing_optoWhi3_PBmutants,49,513,721,244.0,0.2524271844660194,0.17753120665742025,0.024965325936199722
2023-05-16_ageing_optoWhi3_PBmutants,50,0,16,221.5,0.1875,0.0625,0.1875
2023-05-16_ageing_optoWhi3_PBmutants,50,169,21,370.0,0.09523809523809523,0.2857142857142857,0.047619047619047616
2023-05-16_ageing_optoWhi3_PBmutants,50,338,1882,158.0,0.3799149840595112,0.032412327311370885,0.04569606801275239
2023-05-16_ageing_optoWhi3_PBmutants,50,508,2427,147.0,0.4046147507210548,0.0634528224145035,0.09394313967861558
2023-05-16_ageing_optoWhi3_PBmutants,51,0,34,159.0,0.4411764705882353,0.029411764705882353,0.23529411764705882
2023-05-16_ageing_optoWhi3_PBmutants,51,168,150,115.0,0.5066666666666667,0.11333333333333333,0.29333333333333333
2023-05-16_ageing_optoWhi3_PBmutants,51,337,2439,165.0,0.35137351373513737,0.06068060680606806,0.06683066830668306
2023-05-16_ageing_optoWhi3_PBmutants,51,506,1268,155.5,0.444006309148265,0.21056782334384858,0.0583596214511041
2023-05-16_ageing_optoWhi3_PBmutants,52,0,146,116.0,0.5,0.00684931506849315,0.4520547945205479
2023-05-16_ageing_optoWhi3_PBmutants,52,175,438,212.0,0.3150684931506849,0.1415525114155251,0.19863013698630136
2023-05-16_ageing_optoWhi3_PBmutants,52,351,2372,162.5,0.37731871838111297,0.06365935919055649,0.1066610455311973
2023-05-16_ageing_optoWhi3_PBmutants,52,527,978,259.0,0.33844580777096117,0.2903885480572597,0.05828220858895705
2023-05-16_ageing_optoWhi3_PBmutants,53,0,121,210.0,0.3140495867768595,0.008264462809917356,0.371900826446281
2023-05-16_ageing_optoWhi3_PBmutants,53,166,272,296.0,0.1875,0.2647058823529412,0.1875
2023-05-16_ageing_optoWhi3_PBmutants,53,333,2352,116.0,0.5072278911564626,0.02976190476190476,0.13562925170068027
2023-05-16_ageing_optoWhi3_PBmutants,53,500,1414,65.5,0.6315417256011315,0.13507779349363508,0.13437057991513437
2023-05-23_ageing_optoWhi3_PBmutants_noLight,3,0,580,100.0,0.5362068965517242,0.03103448275862069,0.32068965517241377
2023-05-23_ageing_optoWhi3_PBmutants_noLight,3,104,219,243.0,0.2328767123287671,0.0958904109589041,0.0547945205479452
2023-05-23_ageing_optoWhi3_PBmutants_noLight,3,209,313,291.0,0.14696485623003194,0.18849840255591055,0.019169329073482427
2023-05-23_ageing_optoWhi3_PBmutants_noLight,3,314,2610,155.0,0.3505747126436782,0.08084291187739463,0.0839080459770115
2023-05-23_ageing_optoWhi3_PBmutants_noLight,6,0,176,231.0,0.1875,0.011363636363636364,0.32954545454545453
2023-05-23_ageing_optoWhi3_PBmutants_noLight,6,103,126,283.5,0.1111111111111111,0.07142857142857142,0.031746031746031744
2023-05-23_ageing_optoWhi3_PBmutants_noLight,6,206,163,327.0,0.22699386503067484,0.2085889570552147,0.03067484662576687
2023-05-23_ageing_optoWhi3_PBmutants_noLight,6,310,2492,133.0,0.4474317817014446,0.037319422150882825,0.04654895666131621
2023-05-23_ageing_optoWhi3_PBmutants_noLight,7,0,114,190.0,0.2982456140350877,0.0,0.5
2023-05-23_ageing_optoWhi3_PBmutants_noLight,7,103,133,223.0,0.20300751879699247,0.022556390977443608,0.05263157894736842
2023-05-23_ageing_optoWhi3_PBmutants_noLight,7,207,137,327.0,0.18248175182481752,0.17518248175182483,0.021897810218978103
2023-05-23_ageing_optoWhi3_PBmutants_noLight,7,311,2805,136.0,0.4310160427807487,0.03600713012477719,0.036720142602495544
2023-05-23_ageing_optoWhi3_PBmutants_noLight,11,0,154,208.0,0.2662337662337662,0.006493506493506494,0.37662337662337664
2023-05-23_ageing_optoWhi3_PBmutants_noLight,11,103,114,207.0,0.2719298245614035,0.0,0.16666666666666666
2023-05-23_ageing_optoWhi3_PBmutants_noLight,11,206,127,274.0,0.1889763779527559,0.15748031496062992,0.10236220472440945
2023-05-23_ageing_optoWhi3_PBmutants_noLight,11,310,308,256.0,0.2435064935064935,0.17207792207792208,0.10064935064935066
2023-05-23_ageing_optoWhi3_PBmutants_noLight,12,0,127,187.0,0.25196850393700787,0.007874015748031496,0.3937007874015748
2023-05-23_ageing_optoWhi3_PBmutants_noLight,12,103,124,203.5,0.28225806451612906,0.024193548387096774,0.12096774193548387
2023-05-23_ageing_optoWhi3_PBmutants_noLight,12,206,149,222.0,0.24161073825503357,0.18791946308724833,0.14093959731543623
2023-05-23_ageing_optoWhi3_PBmutants_noLight,12,310,438,269.5,0.2100456621004566,0.18493150684931506,0.0502283105022831
2023-05-23_ageing_optoWhi3_PBmutants_noLight,14,0,58,194.0,0.25862068965517243,0.0,0.3103448275862069
2023-05-23_ageing_optoWhi3_PBmutants_noLight,14,103,62,216.5,0.20967741935483872,0.03225806451612903,0.016129032258064516
2023-05-23_ageing_optoWhi3_PBmutants_noLight,14,206,72,243.5,0.2222222222222222,0.08333333333333333,0.041666666666666664
2023-05-23_ageing_optoWhi3_PBmutants_noLight,14,310,94,332.5,0.22340425531914893,0.22340425531914893,0.05319148936170213
2023-05-23_ageing_optoWhi3_PBmutants_noLight,15,0,195,200.0,0.3128205128205128,0.0,0.358974358974359
2023-05-23_ageing_optoWhi3_PBmutants_noLight,15,103,165,222.0,0.21212121212121213,0.0,0.12121212121212122
2023-05-23_ageing_optoWhi3_PBmutants_noLight,15,206,164,343.0,0.16463414634146342,0.2073170731707317,0.07926829268292683
2023-05-23_ageing_optoWhi3_PBmutants_noLight,15,310,290,311.5,0.2103448275862069,0.22758620689655173,0.10689655172413794
2023-05-23_ageing_optoWhi3_PBmutants_noLight,21,0,134,207.0,0.1791044776119403,0.0,0.3805970149253731
2023-05-23_ageing_optoWhi3_PBmutants_noLight,21,93,136,228.0,0.19852941176470587,0.022058823529411766,0.007352941176470588
2023-05-23_ageing_optoWhi3_PBmutants_noLight,21,186,122,255.0,0.18032786885245902,0.1557377049180328,0.0
2023-05-23_ageing_optoWhi3_PBmutants_noLight,21,280,171,402.0,0.1695906432748538,0.21637426900584794,0.04678362573099415
2023-05-23_ageing_optoWhi3_PBmutants_noLight,35,0,70,285.0,0.21428571428571427,0.08571428571428572,0.12857142857142856
2023-05-23_ageing_optoWhi3_PBmutants_noLight,35,103,101,391.0,0.16831683168316833,0.27722772277227725,0.019801980198019802
2023-05-23_ageing_optoWhi3_PBmutants_noLight,35,206,110,411.5,0.15454545454545454,0.23636363636363636,0.01818181818181818
2023-05-23_ageing_optoWhi3_PBmutants_noLight,35,310,625,336.0,0.1712,0.1984,0.0208
2023-05-23_ageing_optoWhi3_PBmutants_noLight,46,0,103,252.0,0.2621359223300971,0.04854368932038835,0.2815533980582524
2023-05-23_ageing_optoWhi3_PBmutants_noLight,46,93,94,316.5,0.18085106382978725,0.1276595744680851,0.10638297872340426
2023-05-23_ageing_optoWhi3_PBmutants_noLight,46,186,73,457.0,0.2191780821917808,0.2328767123287671,0.0958904109589041
2023-05-23_ageing_optoWhi3_PBmutants_noLight,46,280,72,469.0,0.2777777777777778,0.2361111111111111,0.06944444444444445
2023-05-23_ageing_optoWhi3_PBmutants_noLight,47,0,54,265.5,0.2037037037037037,0.037037037037037035,0.2037037037037037
2023-05-23_ageing_optoWhi3_PBmutants_noLight,47,93,145,337.0,0.14482758620689656,0.1310344827586207,0.10344827586206896
2023-05-23_ageing_optoWhi3_PBmutants_noLight,47,186,141,515.0,0.15602836879432624,0.3546099290780142,0.028368794326241134
2023-05-23_ageing_optoWhi3_PBmutants_noLight,47,280,502,244.0,0.2749003984063745,0.11553784860557768,0.05179282868525897
2023-05-23_ageing_optoWhi3_PBmutants_noLight,48,0,41,201.0,0.43902439024390244,0.024390243902439025,0.2682926829268293
2023-05-23_ageing_optoWhi3_PBmutants_noLight,48,106,184,331.0,0.15760869565217392,0.15217391304347827,0.09239130434782608
2023-05-23_ageing_optoWhi3_PBmutants_noLight,48,212,293,384.0,0.20477815699658702,0.2935153583617747,0.06484641638225255
2023-05-23_ageing_optoWhi3_PBmutants_noLight,48,318,2475,205.0,0.22747474747474747,0.05858585858585859,0.06747474747474748
2023-05-23_ageing_optoWhi3_PBmutants_noLight,62,0,40,200.0,0.3,0.0,0.425
2023-05-23_ageing_optoWhi3_PBmutants_noLight,62,103,139,231.0,0.2158273381294964,0.0,0.06474820143884892
2023-05-23_ageing_optoWhi3_PBmutants_noLight,62,206,154,340.0,0.18831168831168832,0.18181818181818182,0.045454545454545456
2023-05-23_ageing_optoWhi3_PBmutants_noLight,62,310,1021,207.0,0.25269343780607245,0.0940254652301665,0.01762977473065622
2023-05-23_ageing_optoWhi3_PBmutants_noLight,64,0,91,169.0,0.4065934065934066,0.01098901098901099,0.6153846153846154
2023-05-23_ageing_optoWhi3_PBmutants_noLight,64,103,110,193.5,0.32727272727272727,0.01818181818181818,0.18181818181818182
2023-05-23_ageing_optoWhi3_PBmutants_noLight,64,206,135,301.0,0.2074074074074074,0.23703703703703705,0.11851851851851852
2023-05-23_ageing_optoWhi3_PBmutants_noLight,64,310,892,217.0,0.2701793721973094,0.1446188340807175,0.06726457399103139
2023-05-23_ageing_optoWhi3_PBmutants_noLight,65,0,207,22.0,0.7439613526570048,0.004830917874396135,0.3285024154589372
2023-05-23_ageing_optoWhi3_PBmutants_noLight,65,93,390,114.0,0.5076923076923077,0.03333333333333333,0.4
2023-05-23_ageing_optoWhi3_PBmutants_noLight,65,186,331,195.0,0.40181268882175225,0.1540785498489426,0.3323262839879154
2023-05-23_ageing_optoWhi3_PBmutants_noLight,65,280,1354,206.0,0.2902511078286558,0.15435745937961595,0.0568685376661743
2023-05-23_ageing_optoWhi3_PBmutants_noLight,66,0,64,173.0,0.390625,0.0,0.359375
2023-05-23_ageing_optoWhi3_PBmutants_noLight,66,93,172,250.0,0.20930232558139536,0.03488372093023256,0.10465116279069768
2023-05-23_ageing_optoWhi3_PBmutants_noLight,66,186,239,348.0,0.17154811715481172,0.2510460251046025,0.07112970711297072
2023-05-23_ageing_optoWhi3_PBmutants_noLight,66,280,1824,179.0,0.30756578947368424,0.11239035087719298,0.044407894736842105
2023-05-23_ageing_optoWhi3_PBmutants_noLight,67,0,67,183.0,0.34328358208955223,0.014925373134328358,0.3880597014925373
