experiment,position,frame,objects,median_area,fragments,merged,on_trap
2023-05-16_ageing_optoWhi3_PBmutants,42,330,2092,53.0,0.7361376673040153,0.005258126195028681,0.10420650095602295
2023-05-16_ageing_optoWhi3_PBmutants,42,496,1754,57.0,0.7109464082098061,0.0034207525655644243,0.11630558722919042
2023-05-16_ageing_optoWhi3_PBmutants,49,0,24,163.5,0.4583333333333333,0.0,0.20833333333333334
2023-05-16_ageing_optoWhi3_PBmutants,49,171,264,225.0,0.21212121212121213,0.08712121212121213,0.04924242424242424
2023-05-16_ageing_optoWhi3_PBmutants,49,342,799,132.0,0.45807259073842305,0.09762202753441802,0.026282853566958697
2023-05-16_ageing_optoWhi3_PBmutants,49,513,293,106.0,0.5255972696245734,0.034129692832764506,0.023890784982935155
2023-05-16_ageing_optoWhi3_PBmutants,50,0,16,212.5,0.25,0.0625,0.1875
2023-05-16_ageing_optoWhi3_PBmutants,50,169,19,447.0,0.05263157894736842,0.21052631578947367,0.0
2023-05-16_ageing_optoWhi3_PBmutants,50,338,1564,114.0,0.5147058823529411,0.021739130434782608,0.03836317135549872
2023-05-16_ageing_optoWhi3_PBmutants,50,508,1682,44.0,0.7841854934601664,0.004161712247324614,0.16587395957193818
2023-05-16_ageing_optoWhi3_PBmutants,51,0,24,226.0,0.20833333333333334,0.0,0.125
2023-05-16_ageing_optoWhi3_PBmutants,51,168,74,298.0,0.20270270270270271,0.17567567567567569,0.17567567567567569
2023-05-16_ageing_optoWhi3_PBmutants,51,337,2607,78.0,0.6620636747219025,0.005370157268891446,0.05523590333716916
2023-05-16_ageing_optoWhi3_PBmutants,51,506,727,32.0,0.8019257221458047,0.005502063273727648,0.09628610729023383
2023-05-16_ageing_optoWhi3_PBmutants,52,0,66,247.0,0.18181818181818182,0.0,0.18181818181818182
2023-05-16_ageing_optoWhi3_PBmutants,52,175,338,239.0,0.21005917159763313,0.16568047337278108,0.05325443786982249
2023-05-16_ageing_optoWhi3_PBmutants,52,351,2237,67.0,0.711220384443451,0.0049172999552972736,0.11980330800178811
2023-05-16_ageing_optoWhi3_PBmutants,52,527,488,42.5,0.7008196721311475,0.01639344262295082,0.13319672131147542
2023-05-16_ageing_optoWhi3_PBmutants,53,0,92,249.5,0.13043478260869565,0.010869565217391304,0.25
2023-05-16_ageing_optoWhi3_PBmutants,53,166,245,315.0,0.1346938775510204,0.23673469387755103,0.11836734693877551
2023-05-16_ageing_optoWhi3_PBmutants,53,333,1823,60.0,0.7284695556774547,0.004388370817334065,0.14646187602852442
2023-05-16_ageing_optoWhi3_PBmutants,53,500,426,27.5,0.8075117370892019,0.018779342723004695,0.17370892018779344
2023-05-23_ageing_optoWhi3_PBmutants_noLight,3,0,142,224.5,0.15492957746478872,0.007042253521126761,0.38028169014084506
2023-05-23_ageing_optoWhi3_PBmutants_noLight,3,104,194,235.0,0.18556701030927836,0.09278350515463918,0.015463917525773196
2023-05-23_ageing_optoWhi3_PBmutants_noLight,3,209,307,271.0,0.20846905537459284,0.17263843648208468,0.009771986970684038
2023-05-23_ageing_optoWhi3_PBmutants_noLight,3,314,2247,71.0,0.6969292389853138,0.024922118380062305,0.09212283044058744
2023-05-23_ageing_optoWhi3_PBmutants_noLight,6,0,164,209.0,0.1951219512195122,0.006097560975609756,0.35365853658536583
2023-05-23_ageing_optoWhi3_PBmutants_noLight,6,103,118,255.5,0.16101694915254236,0.07627118644067797,0.01694915254237288
2023-05-23_ageing_optoWhi3_PBmutants_noLight,6,206,154,325.5,0.22077922077922077,0.18831168831168832,0.032467532467532464
2023-05-23_ageing_optoWhi3_PBmutants_noLight,6,310,1916,96.0,0.5819415448851775,0.032359081419624215,0.04018789144050104
2023-05-23_ageing_optoWhi3_PBmutants_noLight,7,0,85,191.0,0.1411764705882353,0.0,0.5882352941176471
2023-05-23_ageing_optoWhi3_PBmutants_noLight,7,103,121,207.0,0.19834710743801653,0.024793388429752067,0.024793388429752067
2023-05-23_ageing_optoWhi3_PBmutants_noLight,7,207,127,306.0,0.2047244094488189,0.14960629921259844,0.015748031496062992
2023-05-23_ageing_optoWhi3_PBmutants_noLight,7,311,2073,97.0,0.5817655571635311,0.022672455378678243,0.032320308731307285
2023-05-23_ageing_optoWhi3_PBmutants_noLight,11,0,119,214.0,0.16806722689075632,0.008403361344537815,0.3949579831932773
2023-05-23_ageing_optoWhi3_PBmutants_noLight,11,103,94,205.0,0.19148936170212766,0.0,0.05319148936170213
2023-05-23_ageing_optoWhi3_PBmutants_noLight,11,206,107,303.0,0.14953271028037382,0.16822429906542055,0.0
2023-05-23_ageing_optoWhi3_PBmutants_noLight,11,310,278,252.5,0.24100719424460432,0.15827338129496402,0.025179856115107913
2023-05-23_ageing_optoWhi3_PBmutants_noLight,12,0,92,201.0,0.17391304347826086,0.0,0.358695652173913
2023-05-23_ageing_optoWhi3_PBmutants_noLight,12,103,100,217.0,0.2,0.03,0.04
2023-05-23_ageing_optoWhi3_PBmutants_noLight,12,206,128,239.0,0.2734375,0.1875,0.03125
2023-05-23_ageing_optoWhi3_PBmutants_noLight,12,310,404,256.0,0.22524752475247525,0.17574257425742573,0.012376237623762377
2023-05-23_ageing_optoWhi3_PBmutants_noLight,14,0,45,191.0,0.2,0.0,0.24444444444444444
2023-05-23_ageing_optoWhi3_PBmutants_noLight,14,103,56,193.0,0.2857142857142857,0.03571428571428571,0.017857142857142856
2023-05-23_ageing_optoWhi3_PBmutants_noLight,14,206,66,218.5,0.18181818181818182,0.045454545454545456,0.015151515151515152
2023-05-23_ageing_optoWhi3_PBmutants_noLight,14,310,84,319.5,0.17857142857142858,0.21428571428571427,0.03571428571428571
2023-05-23_ageing_optoWhi3_PBmutants_noLight,15,0,137,213.0,0.1386861313868613,0.0,0.41605839416058393
2023-05-23_ageing_optoWhi3_PBmutants_noLight,15,103,148,219.5,0.17567567567567569,0.0,0.08783783783783784
2023-05-23_ageing_optoWhi3_PBmutants_noLight,15,206,154,359.5,0.14285714285714285,0.16883116883116883,0.012987012987012988
2023-05-23_ageing_optoWhi3_PBmutants_noLight,15,310,258,345.5,0.16666666666666666,0.20930232558139536,0.050387596899224806
2023-05-23_ageing_optoWhi3_PBmutants_noLight,21,0,121,190.0,0.18181818181818182,0.0,0.39669421487603307
2023-05-23_ageing_optoWhi3_PBmutants_noLight,21,93,123,224.0,0.21951219512195122,0.024390243902439025,0.008130081300813009
2023-05-23_ageing_optoWhi3_PBmutants_noLight,21,186,115,240.0,0.16521739130434782,0.10434782608695652,0.008695652173913044
2023-05-23_ageing_optoWhi3_PBmutants_noLight,21,280,159,371.0,0.15723270440251572,0.18867924528301888,0.012578616352201259
